EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1016860,WHITESIDE CO.,ERIE,03/05/2022,2113,Tornado, ,EF1,0,0,0,0,IL,CST-6, ,168007,C,195,DVN,0,0,NWS Storm Survey, ,3.98,50,2,NE,0,WSW,DENROCK,03/05/2022,2118,41.6757,-90.0558,41.6984,-89.985,"An EF1 tornado tracked across rural Whiteside County. Max wind speeds were estimated at 90-95 MPH. Damage to trees and farm sheds were found along the 4 mile long path. The tornado was 50 yards at it widest.","Severe thunderstorms tracked across northwest Illinois  during the late afternoon and evening of Saturday March 5, 2022. Thunderstorms initially developed in southwest Iowa, and moved across central Iowa during the afternoon hours, before crossing the Mississippi River into northwest Illinois during evening hours. Storms produced damaging winds and a tornado in northwest Illinois. Winds around 60-75 MPH were reported from trained spotters and first responders, with confirmed reports of damage in some locations. There was an EF-1 tornado northeast of Erie, Illinois.",1
1015350,MASON CO.,BIGGS,03/05/2022,2211,Tornado, ,EF0,0,0,0,0,IL,CST-6, ,167762,C,125,ILX,0,0,NWS Storm Survey, ,6.93,50,4,SW,0,ESE,EASTON,03/05/2022,2219,40.1971,-89.9508,40.2292,-89.8263,"A tornado touched down 4.4 miles northeast of Kilbourne at 10:11pm CST.  It tracked northeastward, knocking over 6 irrigation systems and damaging several trees before dissipating 1 mile east of Easton at 10:19pm CST.","A cold front pushing across Iowa and Missouri interacted with a warm and moist environment to trigger a line of strong to severe thunderstorms during the late afternoon of March 5th.  The storms advanced eastward into central Illinois during the evening, producing wind gusts of 50-60mph and sporadic damage.  An EF-0 tornado touched down northeast of Kilbourne in Mason County causing damage to farm irrigation systems, power poles, and a few trees.",2
1014512,MONTGOMERY CO.,WAGGONER,03/05/2022,2257,Tornado, ,EF1,0,0,50000,0,IL,CST-6, ,167627,C,135,LSX,0,0,NWS Employee, ,3.89,40,2,NNW,2,E,FARMERSVILLE,03/05/2022,2300,39.403,-89.664,39.436,-89.605,"A brief tornado touched down on the evening of March 5th, 2022 just south of Farmersville, IL. The tornado first touched down near East 2nd Road, where it did damage to a one story residence. At this location, the tornado ripped the roof off the garage of a home and the awning off the front porch. The tornado continued northeast, doing some minor damage to a farm building just west of Interstate 55. As it crossed Interstate 55, it blew over a semi truck on the highway. The tornado continued east of Interstate 55, doing substantial damage to some large farm buildings along Morrisonville Avenue and East 4th Road. From there, the tornado began to weaken as it struck a newly constructed hog farm along East 5th Road, before quickly lifting near Macoupin Creek. Overall, the tornado was rated EF-1 with a path length of 3.89 miles and a max path width of 40 yards. No deaths or injuries were reported.","A strong cold front moved through the region, triggering showers and storms. Some of the storms became severe with damaging winds and an isolated tornado.",3
1008216,FRANKLIN CO.,THOMPSONVILLE,03/30/2022,1623,Tornado, ,EF0,0,0,62000,0,IL,CST-6, ,166660,C,55,PAH,0,0,NWS Storm Survey, ,4.05,100,3,NW,0,E,AKIN,03/30/2022,1631,37.9507,-88.8089,37.98,-88.7445,"Trees were uprooted and snapped. Three outbuildings were partially damaged. A few houses sustained shingle damage. There was roof and siding damage to homes in Akin. Maximum winds were estimated near 80 mph based on a storm damage survey.","A broken squall line of showers and thunderstorms produced scattered pockets of strong winds and a few tornadoes. The strongly forced squall line was accompanied by several transient meso-vortices within an environment of very strong low level wind shear. Very limited instability reduced the longevity of these meso-vortices. Dew points  in the upper 50's ahead of the line proved sufficient for a few tornadoes. A very strong low-level jet in excess of 80 knots supported the wind damage and tornado events along the line. Lightning was absent at times from the line. The line formed ahead of a strong cold front that trailed southward from a low pressure center passing north of the region. A very strong 500 mb shortwave pivoted east-northeast from the southern Plains, further enhancing the convection despite weak instability.",4
1008220,WAYNE CO.,FAIRFIELD,03/30/2022,1701,Tornado, ,EF0,0,0,30000,0,IL,CST-6, ,166660,C,191,PAH,0,0,NWS Storm Survey, ,0.3,50,2,SSW,1,SSW,FAIRFIELD,03/30/2022,1702,38.3586,-88.3813,38.3626,-88.3792,"A brief touchdown occurred along Walnut Grove Road. There was a public eyewitness of the tornado. Shingle damage occurred to a few houses. Some larger branches on a few trees were snapped. There was minor damage to a couple of outbuildings. Peak winds were estimated near 75 mph.","A broken squall line of showers and thunderstorms produced scattered pockets of strong winds and a few tornadoes. The strongly forced squall line was accompanied by several transient meso-vortices within an environment of very strong low level wind shear. Very limited instability reduced the longevity of these meso-vortices. Dew points  in the upper 50's ahead of the line proved sufficient for a few tornadoes. A very strong low-level jet in excess of 80 knots supported the wind damage and tornado events along the line. Lightning was absent at times from the line. The line formed ahead of a strong cold front that trailed southward from a low pressure center passing north of the region. A very strong 500 mb shortwave pivoted east-northeast from the southern Plains, further enhancing the convection despite weak instability.",5
1008219,WHITE CO.,NORRIS CITY,03/30/2022,1711,Tornado, ,EF1,0,0,200000,0,IL,CST-6, ,166660,C,193,PAH,0,0,NWS Storm Survey, ,6.62,400,5,ENE,1,NNE,CARMI,03/30/2022,1718,38.0077,-88.2352,38.0867,-88.1665,"This tornado formed in rural farm country several miles southwest of Carmi, then tracked northeast across residential areas in the southeast and east central parts of the city of Carmi. At least a dozen houses received shingle damage, mostly in Carmi. A few large sheds were extensively damaged, one of which was completely destroyed. Some of the debris from a shed was blown into an assisted living center in Carmi. Dozens of trees were uprooted or snapped, some of which blocked roads. One small johnboat was blown into a pond. Power poles and lines were down along the path. Peak winds based on a storm damage survey were estimated near 100 mph.","A broken squall line of showers and thunderstorms produced scattered pockets of strong winds and a few tornadoes. The strongly forced squall line was accompanied by several transient meso-vortices within an environment of very strong low level wind shear. Very limited instability reduced the longevity of these meso-vortices. Dew points  in the upper 50's ahead of the line proved sufficient for a few tornadoes. A very strong low-level jet in excess of 80 knots supported the wind damage and tornado events along the line. Lightning was absent at times from the line. The line formed ahead of a strong cold front that trailed southward from a low pressure center passing north of the region. A very strong 500 mb shortwave pivoted east-northeast from the southern Plains, further enhancing the convection despite weak instability.",6
1020525,CHRISTIAN CO.,SHARPSBURG,04/24/2022,1649,Tornado, ,EF1,0,0,0,0,IL,CST-6, ,168560,C,21,ILX,0,0,NWS Storm Survey, ,0.89,50,3,E,3,NW,WILLEYS,04/24/2022,1650,39.6236,-89.2993,39.6283,-89.2837,"A tornado touched down 3 miles east-northeast of Sharpsburg at 5:49 PM CDT.  The tornado demolished a 60 by 120-foot shed along East 1900 North Road just west of North 1300 East Road.  Damage from the shed was thrown about a mile to the east-northeast.  The tornado quickly dissipated 4 miles east-northeast of Sharpsburg at 5:50 PM CDT.","A cold front interacting with a seasonably warm and humid airmass triggered a broken line of strong to severe thunderstorms across central Illinois during the afternoon of April 24th.  One of the cells spawned a brief EF-1 tornado northeast of Sharpsburg in Christian County.  Meanwhile other storms produced wind gusts of 50 to 60mph and isolated damage across portions of Sangamon and Christian counties.",7
1015443,DU PAGE CO.,WESTMONT,04/30/2022,1544,Tornado, ,EF0,0,0,0,0,IL,CST-6, ,167550,C,43,LOT,0,0,NWS Storm Survey, ,1.9,60,2,N,0,SE,OAK BROOK,04/30/2022,1547,41.8215,-87.9751,41.837,-87.9453,"A tornado with peak winds to 75 mph touched down just west of the Hilton Hotel and Willow Crest Golf Club, where an outbuilding had its roof removed.  The tornado moved northeast, crossing Route 83 near Route 34 and then moved across Central Park where a light post was blown down.  The tornado lifted just east of Jorie Boulevard.  Tree limbs were snapped and a few trees were uprooted along the path of this tornado.","Scattered severe thunderstorms moved across northern Illinois on April 30th producing three tornadoes, large hail, localized wind damage and minor flooding.",8
1015445,BOONE CO.,CANDLEWICK LAKE,04/30/2022,1654,Tornado, ,EF0,0,0,0,0,IL,CST-6, ,167550,C,7,LOT,0,0,NWS Storm Survey, ,0.5,60,1,W,0,NNW,CANDLEWICK LAKE,04/30/2022,1655,42.3516,-88.8716,42.3555,-88.8642,"A tornado with peak winds of 80 mph touched down just west of Candlewick Lake, near the intersection of Candlewick Drive and Briar Cliff Street.  Several softwood trees were uprooted and snapped at the start of the path and laid in a convergent pattern.  The tornado continued northeast across Candlewick Lake, where several floating docks were thrown across the lake.  The tornado lifted as it reached the eastern side of the lake.","Scattered severe thunderstorms moved across northern Illinois on April 30th producing three tornadoes, large hail, localized wind damage and minor flooding.",9
1017792,BOONE CO.,BLAINE,04/30/2022,1707,Tornado, ,EFU,0,0,0,0,IL,CST-6, ,167550,C,7,LOT,0,0,Public, ,0.12,30,3,ENE,3,ENE,BLAINE,04/30/2022,1708,42.4745,-88.7432,42.4758,-88.7416,"Based on two photos, a brief tornado touched down in a field just northeast of the intersection of Coon Trail and Capron Roads.  No damage was reported.","Scattered severe thunderstorms moved across northern Illinois on April 30th producing three tornadoes, large hail, localized wind damage and minor flooding.",10
