,State Name,county Name,State Code,County Code,Annual AQI,Days with AQI >50 Each Year,Days with AQI >100 Each Year,Total Days with AQI >50,Total Days with AQI >100
0,Illinois,Adams,17,1,40.7631717455096,3.2266666666666666,0.17333333333333334,242.0,13.0
1,Illinois,Champaign,17,19,46.461316783802296,11.078947368421053,0.19298245614035087,1263.0,22.0
2,Illinois,Clark,17,23,35.98160946076629,2.087378640776699,0.08737864077669903,215.0,9.0
3,Illinois,Cook,17,31,59.673771524376065,21.4,1.4434782608695653,2461.0,166.0
4,Illinois,DuPage,17,43,48.48930410933337,12.833333333333334,0.38596491228070173,1463.0,44.0
5,Illinois,Effingham,17,49,41.02268038311435,3.4794520547945207,0.2054794520547945,254.0,15.0
6,Illinois,Hamilton,17,65,46.22831823415501,11.157894736842104,0.16666666666666666,1272.0,19.0
7,Illinois,Jersey,17,83,46.02649880365651,10.176991150442477,0.36283185840707965,1150.0,41.0
8,Illinois,Jo Daviess,17,85,35.775569971177184,1.8303571428571428,0.11607142857142858,205.0,13.0
9,Illinois,Kane,17,89,44.981584749925595,7.359649122807017,0.4824561403508772,839.0,55.0
10,Illinois,Lake,17,97,42.32922309055269,4.886363636363637,0.7840909090909091,430.0,69.0
11,Illinois,Macon,17,115,48.46987165726701,13.74561403508772,0.2543859649122807,1567.0,29.0
12,Illinois,Macoupin,17,117,30.392804516601068,2.25,0.15384615384615385,234.0,16.0
13,Illinois,Madison,17,119,54.13036245136386,18.166666666666668,0.631578947368421,2071.0,72.0
14,Illinois,McHenry,17,111,47.81014665747332,12.359649122807017,0.5175438596491229,1409.0,59.0
15,Illinois,McLean,17,113,47.74972179707705,12.771929824561404,0.21052631578947367,1456.0,24.0
16,Illinois,Peoria,17,143,48.06107452198734,12.513274336283185,0.3185840707964602,1414.0,36.0
17,Illinois,Randolph,17,157,45.499746667179046,10.157894736842104,0.19298245614035087,1158.0,22.0
18,Illinois,Rock Island,17,161,45.192996563152676,10.429824561403509,0.24561403508771928,1189.0,28.0
19,Illinois,Saint Clair,17,163,48.05465568816368,14.026315789473685,0.2894736842105263,1599.0,33.0
20,Illinois,Sangamon,17,167,45.089666666047144,10.350877192982455,0.2631578947368421,1180.0,30.0
21,Illinois,Will,17,197,48.88130411308211,14.114035087719298,0.30701754385964913,1609.0,35.0
22,Illinois,Winnebago,17,201,44.51489997482369,9.982456140350877,0.2807017543859649,1138.0,32.0
